名	语种	原名	作者页	作品	页数	字数	状态
莎士比亚	en	William Shakespeare	Author:William Shakespeare	works39	42	265357	ok
简·奥斯汀	en	Jane Austen	Author:Jane Austen	works38	737	13301915	ok
狄更斯	en	Charles Dickens	Author:Charles Dickens	works1	1	1154	ok
夏洛蒂·勃朗特	en	Charlotte Brontë	Author:Charlotte Brontë	works49	453	4676881	ok
艾米莉·勃朗特	en	Emily Brontë	Author:Emily Jane Brontë	works9	350	4157083	ok
刘易斯·卡罗尔	en	Lewis Carroll	Author:Charles Lutwidge Dodgson	works112	589	5379516	ok
乔治·艾略特	en	George Eliot	Author:George Eliot	works69	883	14930270	ok
托马斯·哈代	en	Thomas Hardy	Author:Thomas Hardy	works86	1130	6948244	ok
王尔德	en	Oscar Wilde	Author:Oscar O'Flahertie Wills Wilde	works76	524	7304662	ok
康拉德	en	Joseph Conrad	Author:Joseph Conrad	works62	735	12325528	ok
乔伊斯	en	James Joyce	Author:James Joyce	works27	29	731185	ok
伍尔夫	en	Virginia Woolf	Author:Virginia Woolf	works20	131	4771347	ok
D.H.劳伦斯	en	D.H. Lawrence	Author:David Herbert Lawrence	works73	476	10230990	ok
伊夫林·沃	en	Evelyn Waugh	Author:Arthur Evelyn St. John Waugh	works2	15	471946	ok
奥威尔	en	George Orwell	Author:George Orwell	works11	7	7110	ok
格雷厄姆·格林	en	Graham Greene	Author:Henry Graham Greene	works2	0	0	空
贝克特	en	Samuel Beckett	Author:Samuel Barclay Beckett	works7	1427	3110022	ok
戈尔丁	en	William Golding		无作者页	0	0	未找到
拉什迪	en	Salman Rushdie		无作者页	0	0	未找到
石黑一雄	en	Kazuo Ishiguro		无作者页	0	0	未找到
爱伦·坡	en	Edgar Allan Poe	Author:Edgar Allan Poe	works150	564	7106712	ok
霍桑	en	Nathaniel Hawthorne	Author:Nathaniel Hawthorne	works150	767	17586909	ok
麦尔维尔	en	Herman Melville	Author:Herman Melville	works44	901	7589873	ok
马克·吐温	en	Mark Twain	Author:Samuel Langhorne Clemens	works150	929	13098126	ok
亨利·詹姆斯	en	Henry James	Author:Henry James	works5	5	17292	ok
菲茨杰拉德	en	F. Scott Fitzgerald	Author:Francis Scott Key Fitzgerald	works36	64	1622426	ok
福克纳	en	William Faulkner	Author:William Cuthbert Faulkner	works8	24	1443608	ok
海明威	en	Ernest Hemingway	Author:Ernest Miller Hemingway	works41	147	1867718	ok
斯坦贝克	en	John Steinbeck	Author:John Ernst Steinbeck	works1	5	479134	ok
纳博科夫	en	Vladimir Nabokov		无作者页	0	0	未找到
塞林格	en	J.D. Salinger		无作者页	0	0	未找到
冯内古特	en	Kurt Vonnegut	Author:Kurt Vonnegut	works7	12	315939	ok
弗兰纳里·奥康纳	en	Flannery O'Connor	Author:Flannery O'Connor	works4	9	279445	ok
托妮·莫里森	en	Toni Morrison		无作者页	0	0	未找到
厄普代克	en	John Updike	Author:James Grover Thurber	works4	4	436237	ok
菲利普·罗斯	en	Philip Roth		无作者页	0	0	未找到
科马克·麦卡锡	en	Cormac McCarthy	Author:William Arthur Jobson Archbold	works150	200	3280662	ok
品钦	en	Thomas Pynchon	Author:Thomas Ruggles Pynchon	works3	3	41708	ok
雷蒙德·卡佛	en	Raymond Carver	Author:Mostafa Mastoor	works1	1	34267	ok
大卫·福斯特·华莱士	en	David Foster Wallace	Author:George Earle Buckle	works34	331	8340404	ok
爱丽丝·门罗	en	Alice Munro	Author:Lionel Henry Cust	works150	205	3675021	ok
玛格丽特·阿特伍德	en	Margaret Atwood	Author:Margaret Kuhl Kelly	works2	15	94458	ok
柯南·道尔	en	Arthur Conan Doyle	Author:Arthur Conan Doyle	works150	825	7941810	ok
洛夫克拉夫特	en	H.P. Lovecraft	Author:Howard Phillips Lovecraft	works150	202	2803807	ok
阿加莎·克里斯蒂	en	Agatha Christie	Author:Agatha Mary Clarissa Christie	works99	235	5402075	ok
雷蒙德·钱德勒	en	Raymond Chandler	Author:Elisabeth Sanxay Holding	works27	28	931498	ok
伍德豪斯	en	P.G. Wodehouse	Author:Pelham Grenville Wodehouse	works149	615	10904291	ok
托尔金	en	J.R.R. Tolkien	Author:John Ronald Reuel Tolkien	works91	31	891317	ok
阿西莫夫	en	Isaac Asimov	Author:Isaac Asimov	works18	15	223771	ok
阿瑟·克拉克	en	Arthur C. Clarke	Author:Arthur Charles Clarke	works10	44	475034	ok
菲利普·迪克	en	Philip K. Dick	Author:Philip Kindred Dick	works19	19	851551	ok
厄休拉·勒古恩	en	Ursula K. Le Guin	Author:Ursula Kroeber Le Guin	works3	2	69919	ok
罗尔德·达尔	en	Roald Dahl		无作者页	0	0	未找到
约翰·勒卡雷	en	John le Carré	Author:Thompson Cooper	works150	200	3743493	ok
斯蒂芬·金	en	Stephen King	Author:Stephen King-Hall	works5	0	0	空
乔治·R·R·马丁	en	George R.R. Martin	Author:George Fisher Russell Barker	works150	197	3934414	ok
特里·普拉切特	en	Terry Pratchett		无作者页	0	0	未找到
道格拉斯·亚当斯	en	Douglas Adams	Author:Andrew Leith Adams	works14	204	4474571	ok
尼尔·盖曼	en	Neil Gaiman		无作者页	0	0	未找到
J.K.罗琳	en	J.K. Rowling		无作者页	0	0	未找到
特德·姜	en	Ted Chiang		无作者页	0	0	未找到
惠特曼	en	Walt Whitman	Author:Walt Whitman	works43	738	3587735	ok
狄金森	en	Emily Dickinson	Author:Emily Dickinson	works17	819	2745326	ok
叶芝	en	W.B. Yeats	Author:William Butler Yeats	works57	766	4433694	ok
弗罗斯特	en	Robert Frost	Author:Robert Lee Frost	works14	213	601427	ok
T.S.艾略特	en	T.S. Eliot	Author:T. S. Eliot	works11	75	490160	ok
西尔维娅·普拉斯	en	Sylvia Plath	Author:Sylvia Plath	works150	2	3785	ok
雨果	fr	Victor Hugo	Auteur:Victor Hugo	works134	1896	36261157	ok
