作者	文件数	字数
大仲马	1808	62323794
凡尔纳	1508	56920983
马克·吐温	971	48518590
左拉	648	47196142
巴尔扎克	809	43928292
狄更斯	81	37177580
福楼拜	1998	35468871
柯南·道尔	904	35134705
雨果	1664	33894011
霍桑	810	32648748
普鲁斯特	178	30324771
伍德豪斯	668	28818270
乔治·艾略特	777	28806286
司汤达	567	24942980
D.H.劳伦斯	518	24321971
简·奥斯汀	718	23608015
托马斯·哈代	1054	23514447
康拉德	663	23370948
波德莱尔	970	22654181
亨利·詹姆斯	76	22017939
莫泊桑	512	20248138
爱伦·坡	585	19294461
麦尔维尔	845	19262569
陀思妥耶夫斯基	305	17386599
托尔斯泰	312	15845079
莎士比亚	121	15594960
乔叟	498	14082142
王尔德	560	13719612
叶芝	821	13702958
弥尔顿	857	13362733
果戈里	202	11456678
阿加莎·克里斯蒂	252	10964433
斯威夫特	519	9590712
夏洛蒂·勃朗特	462	9071291
韩愈	780	8962968
刘易斯·卡罗尔	614	8792514
大卫·福斯特·华莱士	331	8340404
伍尔夫	142	8208160
柳宗元	816	8196450
惠特曼	744	7981427
兰波	423	7797412
屠格涅夫	203	7783133
普希金	189	7399913
王安石	513	6323864
李白	692	6162259
埃萨·德·凯罗斯	192	6082449
马查多·德·阿西斯	1007	5994101
洛夫克拉夫特	225	5065949
欧阳修	434	5048151
杜甫	572	4831408
艾米莉·勃朗特	351	4800563
江户川乱步	108	4604352
苏轼	372	4155422
塞万提斯	81	4009091
乔治·R·R·马丁	197	3934414
道格拉斯·亚当斯	176	3802946
约翰·勒卡雷	200	3743493
菲茨杰拉德	61	3715788
爱丽丝·门罗	205	3675021
加莱亚诺	39	3573754
契诃夫	149	3405921
夏目漱石	106	3349764
科马克·麦卡锡	200	3280662
乔伊斯	35	3235888
贝克特	1425	3032668
狄金森	820	2994626
海明威	152	2991270
冯梦龙_三言	307	2866007
庾信	88	2739338
陆游	202	2711656
克维多	69	2535425
太宰治	250	2326799
汤显祖	309	2215703
归有光	118	2187890
森鸥外	128	2157402
袁宏道	125	2040883
福克纳	25	1946079
曹操	368	1892997
芥川龙之介	359	1889423
T.S.艾略特	86	1862230
卡夫雷拉·因凡特	4	1766994
伯恩哈德	44	1667835
阿斯图里亚斯	18	1656056
弗罗斯特	220	1517999
托尔金	33	1495071
菲利普·迪克	32	1443024
谷崎润一郎	50	1344051
袁枚	156	1316826
安徒生	16	1186375
聂鲁达	12	1110891
富恩特斯	300	1054960
汉姆生	10	1040893
雷蒙德·钱德勒	28	931498
显克维奇	10	923179
黑塞	8	843835
凌濛初_二拍	81	824871
伊夫林·沃	16	815166
德鲁蒙德·德·安德拉德	230	798431
尼卡诺尔·帕拉	4	792298
李渔	171	786207
博尔赫斯	7	784352
司马迁	134	768019
西游记	101	754492
金瓶梅	101	731613
阿西莫夫	24	691439
若热·亚马多	50	639052
王小波	65	626192
三国演义	123	617488
红楼梦	80	603951
奥克塔维奥·帕斯	13	509686
斯坦贝克	5	479134
阿瑟·克拉克	44	475034
川端康成	72	446529
希梅内斯	29	441908
厄普代克	4	436237
张岱	47	415735
一千零一夜__无名氏	94	412176
乌纳穆诺	75	411145
纪昀	26	373407
吴敬梓	62	370258
白居易	150	357265
冯内古特	14	352354
萧红	78	347775
纳博科夫	70	297354
弗兰纳里·奥康纳	9	279445
斯蒂芬·金	1	270083
基罗加	31	262812
汪曾祺	157	255027
樋口一叶	27	245272
普伊格	253	226238
米斯特拉尔	95	216750
巴别尔	9	214640
世说新语	38	214448
埃斯库罗斯	3	209267
鲁迅	33	196065
关汉卿	28	195021
郁达夫	39	194667
索尔仁尼琴	11	191352
布莱希特	2	189994
皮兰德娄	2	189994
托马斯·曼	2	188813
李贺	22	188137
多诺索	1	187910
巴列-因克兰	30	180834
周作人	106	172992
易卜生	5	163519
纳兰性德	41	162441
索尔·胡安娜	36	161237
加尔多斯	57	154270
克拉林	8	153989
帕斯捷尔纳克	16	148142
战国策	23	143094
