作者	书目	已存	字数
刘易斯·卡罗尔	27	25	3468377
麦尔维尔	22	22	12203634
弥尔顿	16	16	4321927
托马斯·哈代	32	31	17855167
霍桑	80	79	16264396
狄更斯	80	80	37693869
马克·吐温	80	72	36025265
莎士比亚	80	79	15397916
简·奥斯汀	18	17	11159287
柯南·道尔	80	79	27192895
伍尔夫	11	11	3436813
乔治·艾略特	21	21	16251780
王尔德	36	36	6414950
亨利·詹姆斯	80	71	22000647
D.H.劳伦斯	42	42	14090981
康拉德	44	39	13769165
乔叟	11	5	4725684
斯威夫特	22	10	4666776
艾米莉·勃朗特	1	1	643480
夏洛蒂·勃朗特	9	9	4394410
菲茨杰拉德	7	7	2856862
阿加莎·克里斯蒂	17	17	5562358
爱伦·坡	33	33	12895350
T.S.艾略特	11	11	1372070
惠特曼	11	11	4519296
伍德豪斯	53	53	17913979
狄金森	4	4	348729
乔伊斯	6	6	2504703
弗罗斯特	7	7	916572
叶芝	55	55	9269264
斯蒂芬·金	2	1	270083
冯内古特	2	2	36415
菲利普·迪克	13	13	591473
洛夫克拉夫特	23	23	2262142
阿西莫夫	9	9	467668
托尔金	2	2	603754
海明威	5	5	1123552
福克纳	1	1	502471
伊夫林·沃	1	1	343220
