# 冻结考卷(held-out)。写风格分析时禁止读取。种子=42
篇目	字数	sha256_16
第七十一回	8906	7fbddb199ac04fdd
第七十三回	7425	0cfd617f7080e3ad
第七十四回	10946	69ab60fc6af53b27
第三十九回	6224	02832f5d77f34256
第三十二回	5806	8d032b60c925f130
第二十七回	6282	1c3c00c45609f1e4
第二十三回	5370	539d6bb903c3ae2f
第二十二回	7070	bf396fddeed2458e
第二十六回	7238	f2df0fed6bcba46a
第五十三回	8084	cd75ab18c2fc2167
第五十九回	4971	3fe90366a77af561
第五十八回	6938	c9b1b76fec303693
第六十七回	21309	1232306af38dc93a
第六十二回	11756	6f3297575cc14a58
第六十回	7418	396781ebd67a6bcb
第六回	7356	204fbf3816bb1dab
第十七回	7734	b739667ba44f19a3
第十九回	9113	5086d3970bbad5a1
第十二回	4206	5be21430e8ae10eb
第十五回	4994	3ef7f3be50790bc8
第十四回	5524	2635ccb37e09dbef
第十回	5017	b8db7f3fdfe9c8a2
第四十三回	6654	760ab40b3cdbf2ad
第四十四回	6650	ed25f8086106aad4
